category,brand,model,link,engine,domain,att1,att2,att3,att4,att5,repeat
ماشین لباسشویی,GPLUS,GPLUS-WM-GWM-P870S,https://www.bing.com/ck/a?!&&p=df37bb5749b62f90cc1f9a5288765d57f2d62c66d8989c1e5c1e816e9d80281cJmltdHM9MTc0MDQ0MTYwMA&ptn=3&ver=2&hsh=4&fclid=3d9f2297-7012-6f4d-112f-370971996ea2&u=a1aHR0cHM6Ly90b3JvYi5jb20vcC82Y2ExOGFlNi04MDc3LTQwNGItYWM4ZC1mYTRlNmRlYzBjNjcvJUQ5JTg1JUQ4JUE3JUQ4JUI0JURCJThDJUQ5JTg2LSVEOSU4NCVEOCVBOCVEOCVBNyVEOCVCMyVEOCVCNCVEOSU4OCVEQiU4QyVEQiU4Qy0lRDglQUMlREIlOEMtJUQ5JUJFJUQ5JTg0JUQ4JUE3JUQ4JUIzLSVEOSU4NSVEOCVBRiVEOSU4NC1nd20tcDg3MHMv&ntb=1,bing.com,torob.com,1,,6,8,1200,False
ماشین لباسشویی,GPLUS,GPLUS-WM-GWM-L880W,https://www.digikala.com/product/dkp-8831376/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D8%AC%DB%8C-%D9%BE%D9%84%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-gwm-l880w-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-8-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85,yahoo.com,digikala.com,1,1, ,8,1400,False
ماشین لباسشویی,GSUN,GSUN-WM-GSM8012,https://www.bing.com/ck/a?!&&p=0e9cbbb7c14c200dad77e36000220bc0c8f7d486671f4969fc470db4107435e7JmltdHM9MTc0MDQ0MTYwMA&ptn=3&ver=2&hsh=4&fclid=3d9f2297-7012-6f4d-112f-370971996ea2&u=a1aHR0cHM6Ly90b3JvYi5jb20vcC8zYWRjMGI1NC04YTNkLTQxZTEtYTEzMS0wMDgyNzcwNGIzZWIvJUQ5JTg1JUQ4JUE3JUQ4JUI0JURCJThDJUQ5JTg2LSVEOSU4NCVEOCVBOCVEOCVBNyVEOCVCMyVEOCVCNCVEOSU4OCVEQiU4QyVEQiU4Qy0lRDglQUMlREIlOEMtJUQ4JUIzJUQ4JUE3JUQ5JTg2LSVEOSU4NSVEOCVBRiVEOSU4NC04MDEyLSVEOCVCOCVEOCVCMSVEOSU4MSVEQiU4QyVEOCVBQS04LSVEQSVBOSVEQiU4QyVEOSU4NCVEOSU4OC8&ntb=1,bing.com,torob.com, , , ,, ,False
ماشین لباسشویی,GSUN,GSUN-WM-GSM1416,https://www.bing.com/ck/a?!&&p=456e451342abec3ac20cd72b5485139582d1949f94d34359a477c8a4c2bfa4a6JmltdHM9MTc0MDQ0MTYwMA&ptn=3&ver=2&hsh=4&fclid=3d9f2297-7012-6f4d-112f-370971996ea2&u=a1aHR0cHM6Ly90b3JvYi5jb20vcC9kMzFlMjRlZi1mZTEyLTQxNmQtYjg4MS02NDU3MDU2YTk2YmUvJUQ5JTg1JUQ4JUE3JUQ4JUI0JURCJThDJUQ5JTg2LSVEOSU4NCVEOCVBOCVEOCVBNyVEOCVCMyVEOCVCNCVEOSU4OCVEQiU4QyVEQiU4Qy0lRDglQTclRDglQUElRDklODglRDklODUlRDglQTclRDglQUEtJURBJUFGJURCJThDJUQ4JUIxJUQ4JUE4JURBJUE5JUQ4JUIzJURCJThDLSVEOSU4NiVEOCVBNyVEOCVCMyVEQiU4QyVEOSU4OCVEOSU4NiVEOCVBNyVEOSU4NC0lRDglQTclRDklODYlREIlOEMlRDklODQtOS0lREElQTklREIlOEMlRDklODQlRDklODgtJUQ5JTg1JUQ4JUFGJUQ5JTg0LXdtLTE0MTYtdzkv&ntb=1,bing.com,torob.com,2,,16,,,False
ماشین لباسشویی,HIMALIA,HIMALIA-WM-HWM-816,https://www.bing.com/ck/a?!&&p=d0a5764b442199f5875e3d08912e2ba481a787957c62a7e5f6a3c9012233fdb1JmltdHM9MTc0MDM1NTIwMA&ptn=3&ver=2&hsh=4&fclid=17c6e0a8-7aff-645e-122d-f5357b2d6548&u=a1aHR0cHM6Ly90b3JvYi5jb20vcC8wZGNmZWRmMi03YWU0LTQ0ZDQtOGUzMC04MGJmM2UyZjM1ZjYvJUQ5JTg0JUQ4JUE4JUQ4JUE3JUQ4JUIzJUQ4JUI0JUQ5JTg4JURCJThDJURCJThDLSVEOSU4NyVEQiU4QyVEOSU4NSVEOCVBNyVEOSU4NCVEQiU4QyVEOCVBNy04LSVEQSVBOSVEQiU4QyVEOSU4NCVEOSU4OC1od20tODE2dzE0Lw&ntb=1,bing.com,torob.com,1,2,12,8,1400,False
ماشین لباسشویی,HIMALIA,HIMALIA-WM-HWM-816W,https://www.bing.com/ck/a?!&&p=d0a5764b442199f5875e3d08912e2ba481a787957c62a7e5f6a3c9012233fdb1JmltdHM9MTc0MDM1NTIwMA&ptn=3&ver=2&hsh=4&fclid=17c6e0a8-7aff-645e-122d-f5357b2d6548&u=a1aHR0cHM6Ly90b3JvYi5jb20vcC8wZGNmZWRmMi03YWU0LTQ0ZDQtOGUzMC04MGJmM2UyZjM1ZjYvJUQ5JTg0JUQ4JUE4JUQ4JUE3JUQ4JUIzJUQ4JUI0JUQ5JTg4JURCJThDJURCJThDLSVEOSU4NyVEQiU4QyVEOSU4NSVEOCVBNyVEOSU4NCVEQiU4QyVEOCVBNy04LSVEQSVBOSVEQiU4QyVEOSU4NCVEOSU4OC1od20tODE2dzE0Lw&ntb=1,bing.com,torob.com,1,2,12,8,1400,False
ماشین لباسشویی,HISENSE,HISENSE-WM-WFH8012DS,https://www.entekhabcenter.com/hisense-wfh8012ds-washing-mashineh9uyrux,yahoo.com,entekhabcenter.com,2, , ,8,1200,False
ماشین لباسشویی,HYUNDAI,HYUNDAI-WM-HWM-7212S,https://www.bing.com/ck/a?!&&p=e0507e2b94b01b277d77e039737330599eac8b4bf6898e081ebdca6da61e7e2fJmltdHM9MTc0MDQ0MTYwMA&ptn=3&ver=2&hsh=4&fclid=3d9f2297-7012-6f4d-112f-370971996ea2&u=a1aHR0cHM6Ly90b3JvYi5jb20vcC8zYzVkY2RmZC01YzQxLTQ4N2ItYmEwZC1jMWU3MDBkMjExODkvJUQ5JTg1JUQ4JUE3JUQ4JUI0JURCJThDJUQ5JTg2LSVEOSU4NCVEOCVBOCVEOCVBNyVEOCVCMyVEOCVCNCVEOSU4OCVEQiU4QyVEQiU4Qy0lRDklODclREIlOEMlRDklODglRDklODYlRDglQUYlRDglQTclREIlOEMtJUQ5JTg1JUQ4JUFGJUQ5JTg0LWh3bS03MjEyLSVEOCVCOCVEOCVCMSVEOSU4MSVEQiU4QyVEOCVBQS03LSVEQSVBOSVEQiU4QyVEOSU4NCVEOSU4OCVEQSVBRiVEOCVCMSVEOSU4NS8&ntb=1,bing.com,torob.com,1,2,16,7,1200,False
ماشین لباسشویی,HYUNDAI,HYUNDAI-WM-HWM-9418W,https://www.bing.com/ck/a?!&&p=4851ade2d900b42a2f4baee246ce220c3d27413eb6fc4b454fee20e8d8091383JmltdHM9MTc0MDM1NTIwMA&ptn=3&ver=2&hsh=4&fclid=17c6e0a8-7aff-645e-122d-f5357b2d6548&u=a1aHR0cHM6Ly90b3JvYi5jb20vcC8xMTIxYTAzNS0zM2E2LTQwMGYtYjU0OS0yZGYwMDI0YmIxNjYvJUQ5JTg1JUQ4JUE3JUQ4JUI0JURCJThDJUQ5JTg2LSVEOSU4NCVEOCVBOCVEOCVBNyVEOCVCMyVEOCVCNCVEOSU4OCVEQiU4QyVEQiU4Qy0lRDklODclREIlOEMlRDklODglRDklODYlRDglQUYlRDglQTclREIlOEMtJUQ5JTg1JUQ4JUFGJUQ5JTg0LWh3bS05NDE4LSVEOCVCOCVEOCVCMSVEOSU4MSVEQiU4QyVEOCVBQS05LSVEQSVBOSVEQiU4QyVEOSU4NCVEOSU4OCVEQSVBRiVEOCVCMSVEOSU4NS8&ntb=1,bing.com,torob.com,1,,18,9,1400,False
ماشین لباسشویی,INDESIT,INDESIT-WM-BWE-91683XWUK,https://www.entekhabcenter.com/product/indesit-9-kg-washing-machine-model-bwe-91683-x-w-uk,yahoo.com,entekhabcenter.com,2,,16,9,1600,False
ماشین لباسشویی,KENWOOD,KENWOOD-WM-KWM6841W,https://www.bing.com/ck/a?!&&p=b8b47fca7f20188b314b2f139b5b5fd79f91896893f46b931a4017e341b94b18JmltdHM9MTc0MDQ0MTYwMA&ptn=3&ver=2&hsh=4&fclid=3d9f2297-7012-6f4d-112f-370971996ea2&u=a1aHR0cHM6Ly90b3JvYi5jb20vcC9jMmYwYTA2Ny02MDkzLTRmZWYtODEwZS04MzY0ZjIxMGYzNzEvJURBJUE5JUQ4JUE3JUQ5JTg0JUQ4JUE3LSVEOSU4NCVEOCVBOCVEOCVBNyVEOCVCMyVEOCVCNCVEOSU4OCVEQiU4QyVEQiU4Qy04LSVEQSVBOSVEQiU4QyVEOSU4NCVEOSU4OCVEQSVBRiVEOCVCMSVEOSU4NS0lREElQTklRDklODYlRDklODglRDklODglRDglQUYtJUQ5JTg1JUQ4JUFGJUQ5JTg0LWt3bS02ODQxLw&ntb=1,bing.com,torob.com, ,,20,1,1400,False
ماشین لباسشویی,KENWOOD,KENWOOD-WM-KWM-8260,https://www.bing.com/ck/a?!&&p=e8680924d9e9b1867d2c355f59f910f40d58195a18890c30d3d8da4963a66f23JmltdHM9MTc0MDQ0MTYwMA&ptn=3&ver=2&hsh=4&fclid=3d9f2297-7012-6f4d-112f-370971996ea2&u=a1aHR0cHM6Ly90b3JvYi5jb20vcC81ZTkyNTcyMi1lYjY5LTQxNmItODc3YS00MjM3YTdhYzBmYzYvJURBJUE5JUQ4JUE3JUQ5JTg0JUQ4JUE3LSVEOSU4NSVEOCVBNyVEOCVCNCVEQiU4QyVEOSU4Ni0lRDklODQlRDglQTglRDglQTclRDglQjMlRDglQjQlRDklODglREIlOEMlREIlOEMtJURBJUE5JUQ5JTg2JUQ5JTg4JUQ5JTg4JUQ4JUFGLSVEOSU4NSVEOCVBRiVEOSU4NC1rd20tODI2MC8&ntb=1,bing.com,torob.com,8,, ,8,1400,False
ماشین لباسشویی,LEOCO,LEOCO-WM-PRIME-LWM716S,https://www.digikala.com/product/dkp-14021573/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D9%84%D8%A6%D9%88%DA%A9%D9%88-%D9%85%D8%AF%D9%84-lwm716s-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-7-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85,yahoo.com,digikala.com,1,2, ,7,1200,False
ماشین لباسشویی,LG,LG-WM-F4J6TNP0W,https://www.bing.com/ck/a?!&&p=f9f4cbc6abd6f461d099f9541c35b2a446712fc0ab99b46cd7af106d422d9262JmltdHM9MTc0MDM1NTIwMA&ptn=3&ver=2&hsh=4&fclid=17c6e0a8-7aff-645e-122d-f5357b2d6548&u=a1aHR0cHM6Ly93d3cuc2FsbGFtYmFiYWEuY29tL1NCUC03NTcyL2xn&ntb=1,bing.com,sallambabaa.com,,1,14,8,1400,False
ماشین لباسشویی,LG,LG-WM-WM843SW,https://www.bing.com/ck/a?!&&p=462226374b6b07311bc8b5c29c220b738037a8d833862632a8875cd4bb9c79e1JmltdHM9MTc0MDQ0MTYwMA&ptn=3&ver=2&hsh=4&fclid=3d9f2297-7012-6f4d-112f-370971996ea2&u=a1aHR0cHM6Ly90b3JvYi5jb20vcC9hN2M3ZjEyOS1lOWM5LTRlMWMtYTM1Zi1hNDIyZjc1YmQ2ZDgvJUQ5JTg1JUQ4JUE3JUQ4JUI0JURCJThDJUQ5JTg2LSVEOSU4NCVEOCVBOCVEOCVBNyVEOCVCMyVEOCVCNCVEOSU4OCVEQiU4QyVEQiU4Qy0lRDglQTclRDklODQtJUQ4JUFDJURCJThDLSVEOSU4NSVEOCVBRiVEOSU4NC13bS04NDMv&ntb=1,bing.com,torob.com, , , ,, ,False
ماشین لباسشویی,MAGICWASH,MAGICWASH-WM-WM601000,https://www.bing.com/ck/a?!&&p=3415e7db7f952ee60bc4c6a7570d8eae3b64920068f23b71067b11de344adf04JmltdHM9MTc0MDQ0MTYwMA&ptn=3&ver=2&hsh=4&fclid=3d9f2297-7012-6f4d-112f-370971996ea2&u=a1aHR0cHM6Ly90b3JvYi5jb20vcC85MzlhZjc2Zi01OTE1LTQ2YmMtOGM2OC1hNDczOWMyOTI5ODIvJUQ5JTg1JUQ4JUE3JUQ4JUI0JURCJThDJUQ5JTg2LSVEOSU4NCVEOCVBOCVEOCVBNyVEOCVCMyVEOCVCNCVEOSU4OCVEQiU4QyVEQiU4Qy02LSVEQSVBOSVEQiU4QyVEOSU4NCVEOSU4OCVEQiU4QyVEQiU4Qy0lRDklODUlRDglQUMlREIlOEMlREElQTktJUQ5JTg1JUQ4JUFGJUQ5JTg0LTYwMTAwMC8&ntb=1,bing.com,torob.com,1,2,16,6,1000,False
ماشین لباسشویی,MAGICWASH,MAGICWASH-WM-WM801400,https://www.bing.com/ck/a?!&&p=01ef43961380bf842d88fe12e5f6b26a3d001f657e0ac937ccaff50e51e7250eJmltdHM9MTc0MDQ0MTYwMA&ptn=3&ver=2&hsh=4&fclid=3d9f2297-7012-6f4d-112f-370971996ea2&u=a1aHR0cHM6Ly90b3JvYi5jb20vcC9iNDgwYmU3MC0wNGQzLTQ2MzktYjcxOC1kNGE2NWViMjI2NmYvJUQ5JTg1JUQ4JUE3JUQ4JUI0JURCJThDJUQ5JTg2LSVEOSU4NCVEOCVBOCVEOCVBNyVEOCVCMyVEOCVCNCVEOSU4OCVEQiU4QyVEQiU4Qy04LSVEQSVBOSVEQiU4QyVEOSU4NCVEOSU4OCVEQiU4QyVEQiU4Qy0lRDklODUlRDglQUMlREIlOEMlREElQTktJUQ5JTg1JUQ4JUFGJUQ5JTg0LTgwMTQwMC8&ntb=1,bing.com,torob.com, , , , , ,False
ماشین لباسشویی,MIDEA,MIDEA-WM-WU-24802,https://www.entekhabcenter.com/product/midea-wu-24802-w-washing-mashine,yahoo.com,entekhabcenter.com,1, , ,8,1400,False
ماشین لباسشویی,Magic,Magic-WM-147M01, , , , , , , , ,False
ماشین لباسشویی,NATIONAL,NATIONAL-WM-NP-WD914LG, , , , , , , , ,False
ماشین لباسشویی,PAKSHOMA,PAKSHOMA-WM-UWF-20801,https://www.entekhabcenter.com/pakshoma-8-kg-washing-machine-uwf-20801wt,yahoo.com,entekhabcenter.com,2,,15,8,1200,False
ماشین لباسشویی,PAKSHOMA,PAKSHOMA-WM-BWF-40801,https://www.entekhabcenter.com/product/product-pakshuma-8-kg-washing-machine-model-bwf40801-st,yahoo.com,entekhabcenter.com,2,,16,8,1400,False
ماشین لباسشویی,PARS KHAZAR,PARS KHAZAR-WM-8514S,https://www.digikala.com/product/dkp-2455765/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%AE%D8%B2%D8%B1-%D9%85%D8%AF%D9%84-wm-8514-%D8%B8%D8%B1%D9%81%DB%8C%D8%AA-85-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85,yahoo.com,digikala.com,1,2, ,8,1400,False
ماشین لباسشویی,SAM,SAM-WM-Q1435W,https://www.entekhabcenter.com/sam-electronic-8-kg-washing-machine-model-un-q1435-w,yahoo.com,entekhabcenter.com,1, , ,8,1400,False
ماشین لباسشویی,SAM,SAM-WM-BL-P1485,https://www.entekhabcenter.com/sam-electronic-9-kg-washing-machine-model-dd-p1485,yahoo.com,entekhabcenter.com,1,2, ,9,1400,False
ماشین لباسشویی,SAMSUNG,SAMSUNG-WM-WW90T554DAN,https://www.bing.com/ck/a?!&&p=c716a8715c190a04f2666a294ac59a9a699a6351b7f6a27f0f97254b60c63e82JmltdHM9MTc0MDM1NTIwMA&ptn=3&ver=2&hsh=4&fclid=17c6e0a8-7aff-645e-122d-f5357b2d6548&u=a1aHR0cHM6Ly93d3cuc2FsbGFtYmFiYWEuY29tL1NCUC01NjI4L3NhbXN1bmc&ntb=1,bing.com,sallambabaa.com,4,,22,9,1400,False
ماشین لباسشویی,SAMSUNG,SAMSUNG-WM-WW90K5210,https://www.bing.com/ck/a?!&&p=eb8c0000996f1db336559b12f915522b4977c89ec6ab1119ddd2005fcb9adeb7JmltdHM9MTc0MDQ0MTYwMA&ptn=3&ver=2&hsh=4&fclid=3d9f2297-7012-6f4d-112f-370971996ea2&u=a1aHR0cHM6Ly90b3JvYi5jb20vcC9lOTA0ZDlhZS05NDU2LTRiMjgtOTA2Ny0wMTgyODlkZTI3MzYvJUQ5JTg1JUQ4JUE3JUQ4JUI0JURCJThDJUQ5JTg2LSVEOSU4NCVEOCVBOCVEOCVBNyVEOCVCMyVEOCVCNCVEOSU4OCVEQiU4QyVEQiU4Qy0lRDglQjMlRDglQTclRDklODUlRDglQjMlRDklODglRDklODYlREElQUYtJUQ5JTg1JUQ4JUFGJUQ5JTg0LXd3ODBrNTIxMy8&ntb=1,bing.com,torob.com, , , ,9,1400,False
ماشین لباسشویی,SANAM,SANAM-WM-SWM814L3W,https://www.bing.com/ck/a?!&&p=079b42fabc482dc13b61319fef55a5aebadd5ab22ade78aa0dbf83647bb1c638JmltdHM9MTc0MDQ0MTYwMA&ptn=3&ver=2&hsh=4&fclid=3d9f2297-7012-6f4d-112f-370971996ea2&u=a1aHR0cHM6Ly90b3JvYi5jb20vcC9hYWVlNzU2Mi0xMmU4LTRhN2QtOTM0YS04ZGE3YzIxMTkwYzQvJUQ5JTg1JUQ4JUE3JUQ4JUI0JURCJThDJUQ5JTg2LSVEOSU4NCVEOCVBOCVEOCVBNyVEOCVCMyVEOCVCNCVEOSU4OCVEQiU4QyVEQiU4Qy04LSVEQSVBOSVEQiU4QyVEOSU4NCVEOSU4OCVEQSVBRiVEOCVCMSVEOSU4NSVEQiU4Qy0lRDklODUlRDglQUYlRDklODQtd20tODE0LSVEOCVCMyVEOSU4MSVEQiU4QyVEOCVBRi8&ntb=1,bing.com,torob.com, , , ,, ,False
ماشین لباسشویی,SNOWA,SNOWA-WM-SWM-A70W,https://www.entekhabcenter.com/product/snowa-7-kg-washing-machine-harmony-slim-series-model-swm-a70w,yahoo.com,entekhabcenter.com,1,,15,7,1000,False
ماشین لباسشویی,SNOWA,SNOWA-WM-SWM-C80W,https://www.entekhabcenter.com/snowa-8-kg-washing-machine-model-swm-c80w,yahoo.com,entekhabcenter.com,1,,15,8,1000,False
ماشین لباسشویی,TCL,TCL-WM_K112-AWI,https://www.bing.com/ck/a?!&&p=b5c528f7bfe5d853d3028444b2096f0df1ae58e2d62bb3932526260f73531c8fJmltdHM9MTc0MDQ0MTYwMA&ptn=3&ver=2&hsh=4&fclid=3d9f2297-7012-6f4d-112f-370971996ea2&u=a1aHR0cHM6Ly90b3JvYi5jb20vcC84NmE2OWUzMC04OWNkLTQwOTEtYmNmYy0xYTgzNGUxZGIxNTMvJUQ5JTg1JUQ4JUE3JUQ4JUI0JURCJThDJUQ5JTg2LSVEOSU4NCVEOCVBOCVEOCVBNyVEOCVCMyVEOCVCNCVEOSU4OCVEQiU4QyVEQiU4Qy0lRDglQUElREIlOEMtJUQ4JUIzJURCJThDLSVEOCVBNyVEOSU4NC0lRDklODUlRDglQUYlRDklODQtazExMi8&ntb=1,bing.com,torob.com,1,,16,11,1200,False
ماشین لباسشویی,X.VISION,X.VISION-WM-TG72-BW,https://www.entekhabcenter.com/xvision-tg72-bw-washing-machine,yahoo.com,entekhabcenter.com,1,,16,7,1200,False
ماشین لباسشویی,X.VISION,X.VISION-WM-TF94-AWBL,https://www.entekhabcenter.com/product/xvision-9-kg-washing-machine-model-tf94-awbl,yahoo.com,entekhabcenter.com,1,,15,9,1400,False
ماشین لباسشویی,ZEROWATT,ZEROWATT-WM-FCA4860W,https://www.bing.com/ck/a?!&&p=187c7e936e58dfac9a4faec5ddc482fafd2399adb1b8b61d52563329485f4e87JmltdHM9MTc0MDM1NTIwMA&ptn=3&ver=2&hsh=4&fclid=17c6e0a8-7aff-645e-122d-f5357b2d6548&u=a1aHR0cHM6Ly93d3cuZW50ZWtoYWJjZW50ZXIuY29tL3plcm93YXR0LWZjYTQ4NjAtdy13YXNoaW5nLW1hY2hpbmUtOC1rZw&ntb=1,bing.com,entekhabcenter.com,1,1,21,8,1400,False
ماشین لباسشویی,ZEROWATT,ZEROWATT-WM-FCS-4940W, , , , , , , , ,False
